"Name","Position","Position In Class","Number","Class","StartPos","StartPosInClass","GapToAhead","GapToAheadInClass","Gap to P1","Gap to P1 In Class","Total Laps","Total Time","Best Lap","Best Lap time","Best Speed","Average Speed","Total Distance","Total Pit Stops"
"Jacob Reis","1","1","58","Sprint Series","3","3","","","","0","8","508.744","8","62.963","37.679","37.306","5.272","0"
"Jack McNeel","2","2","23","Sprint Series","27","27","0.435","","0.435","1 Lap","7","481.087","6","63.398","37.421","34.519","4.613","0"
"Leo Ovtcharov","3","3","43","Sprint Series","28","28","0.178","","0.613","1 Lap","7","483.559","5","63.576","37.316","34.343","4.613","0"
"Alexander Blake","4","4","53","Sprint Series","21","21","0.065","","0.678","30.435","8","539.179","7","63.641","37.278","35.2","5.272","0"
"Ayden Vaillancour","5","5","37","Sprint Series","10","10","0.127","","0.805","18.48","8","527.224","5","63.768","37.204","35.998","5.272","0"
"Joey Andrews","6","6","32","Sprint Series","19","19","0.012","","0.817","27.81","8","536.554","3","63.78","37.197","35.372","5.272","0"
"Paul Wagner","7","7","42","Sprint Series","14","14","0.006","","0.823","21.768","8","530.512","8","63.786","37.193","35.775","5.272","0"
"Emerson Thieman","8","8","27","Sprint Series","13","13","0.010","","0.833","20.821","8","529.565","3","63.796","37.187","35.839","5.272","0"
"Jeremy Aldridge","9","9","57","Sprint Series","5","5","0.025","","0.858","9.637","8","518.381","5","63.821","37.173","36.612","5.272","0"
"Ivan Martinez","10","10","26","Sprint Series","29","29","0.037","","0.895","1 Lap","7","486.036","4","63.858","37.151","34.168","4.613","0"
"Oleg Glushkov","11","11","56","Sprint Series","16","16","0.009","","0.904","25.601","8","534.345","8","63.867","37.146","35.519","5.272","0"
"Brett Lopinsky","12","12","51","Sprint Series","20","20","0.126","","1.030","32.536","8","541.28","6","63.993","37.073","35.064","5.272","0"
"Nathaniel Small","13","13","36","Sprint Series","24","24","0.006","","1.036","1 Lap","7","480.822","5","63.999","37.069","34.538","4.613","0"
"James Lieser","14","14","48","Sprint Series","8","8","0.028","","1.064","16.257","8","525.001","8","64.027","37.053","36.151","5.272","0"
"Chris Fox","15","15","29","Sprint Series","18","18","0.010","","1.074","29.943","8","538.687","7","64.037","37.047","35.232","5.272","0"
"Derek Borunda","16","16","52","Sprint Series","17","17","0.009","","1.083","30.047","8","538.791","7","64.046","37.042","35.226","5.272","0"
"Frank Chen","17","17","22","Sprint Series","25","25","0.152","","1.235","1 Lap","7","483.771","5","64.198","36.954","34.328","4.613","0"
"Connor Hicks","18","18","28","Sprint Series","11","11","0.075","","1.310","21.475","8","530.219","8","64.273","36.911","35.795","5.272","0"
"Mike Chen","19","19","55","Sprint Series","22","22","","","1.310","1 Lap","7","480.387","6","64.273","36.911","34.57","4.613","0"
"Robert Hernandez","20","20","50","Sprint Series","2","2","0.011","","1.321","11.609","8","520.353","6","64.284","36.905","36.474","5.272","0"
"Vince Azua","21","21","41","Sprint Series","6","6","0.011","","1.332","15.457","8","524.201","8","64.295","36.899","36.206","5.272","0"
"Frank Hsu","22","22","20","Sprint Series","23","23","0.109","","1.441","1 Lap","7","480.682","5","64.404","36.836","34.548","4.613","0"
"Jacob Abrams","23","23","24","Sprint Series","9","9","0.108","","1.549","1 Lap","7","495.608","3","64.512","36.775","33.508","4.613","0"
"Ken Hackman","24","24","40","Sprint Series","12","12","0.040","","1.589","24.82","8","533.564","8","64.552","36.752","35.571","5.272","0"
"Brian Vidales [SE]","25","25","39","Sprint Series","15","15","0.111","","1.700","30.41","8","539.154","6","64.663","36.689","35.202","5.272","0"
"Lee Povey [SE]","26","26","46","Sprint Series","1","1","0.025","","1.725","13.816","8","522.56","6","64.688","36.674","36.32","5.272","0"
"Nick Rajewski [SE]","27","27","47","Sprint Series","7","7","0.007","","1.732","20.377","8","529.121","3","64.695","36.671","35.869","5.272","0"
"Ethan Chen","28","28","33","Sprint Series","26","26","0.012","","1.744","1 Lap","7","490.558","2","64.707","36.664","33.853","4.613","0"
"Denis Shakhovskii","29","29","59","Sprint Series","4","4","2.615","","4.359","1 Lap","7","488.723","5","67.322","35.24","33.98","4.613","0"
"Mike Gonzales","30","30","45","Sprint Series","0","","","","","8 Laps","0","0.0","0","0.0","0.0","0.0","0.0","0"
